local_player_id,player_id,player_name,minutes_played,games_played,pts
1,2544,LeBron James,41350,1095,29682
2,201142,Kevin Durant,35501,963,25827
3,2546,Carmelo Anthony,30554,870,20694
4,201566,Russell Westbrook,30516,895,20333
5,2548,Dwyane Wade,29823,898,19220
6,201935,James Harden,28347,847,19019
7,200746,LaMarcus Aldridge,32575,930,18507
8,1717,Dirk Nowitzki,29498,910,18407
9,977,Kobe Bryant,25020,702,17722
10,201939,Stephen Curry,26404,773,17718
11,101108,Chris Paul,31584,910,17146
12,2730,Dwight Howard,31865,939,16813
13,2207,Joe Johnson,33151,984,15512
14,201942,DeMar DeRozan,26318,784,15203
15,2200,Pau Gasol,31174,948,15158
16,200752,Rudy Gay,28048,808,14780
17,2225,Tony Parker,26929,903,14429
18,2037,Jamal Crawford,27544,940,14423
19,101145,Monta Ellis,27807,785,14373
20,2216,Zach Randolph,27201,856,14133
21,2547,Chris Bosh,25491,743,14064
22,1718,Paul Pierce,27101,880,13886
23,200794,Paul Millsap,28117,926,13591
24,201933,Blake Griffin,21804,634,13375
25,101114,Deron Williams,27132,806,13358
26,2744,Al Jefferson,23819,792,13300
27,201567,Kevin Love,23524,748,13262
28,2561,David West,27506,975,13258
29,200768,Kyle Lowry,27985,908,13025
30,202691,Klay Thompson,22603,684,12975
31,101150,Lou Williams,22895,883,12891
32,1495,Tim Duncan,24215,809,12610
33,201188,Marc Gasol,27881,835,12478
34,201572,Brook Lopez,21612,699,12410
35,203081,Damian Lillard,19494,542,12385
36,201143,Al Horford,29186,896,12350
37,202326,DeMarcus Cousins,18329,579,12231
38,201152,Thaddeus Young,28122,930,12201
39,2747,JR Smith,26454,936,12027
40,2746,Josh Smith,25580,802,11988
41,202331,Paul George,21501,641,11883
42,2738,Andre Iguodala,32221,985,11838
43,201144,Mike Conley,26958,839,11836
44,201145,Jeff Green,26988,906,11713
45,202322,John Wall,21923,619,11548
46,202681,Kyrie Irving,17651,525,11462
47,2736,Luol Deng,26690,769,11284
48,101135,David Lee,23634,807,11264
49,2405,"Amar'e Stoudemire",18146,629,11205
50,1938,Manu Ginobili,21348,872,11187
51,201565,Derrick Rose,19570,584,11077
52,1713,Vince Carter,23216,886,11032
53,201609,Goran Dragic,22396,817,10909
54,200755,JJ Redick,22582,872,10875
55,2755,Kevin Martin,17839,580,10806
56,203076,Anthony Davis,15827,464,10779
57,202689,Kemba Walker,19216,577,10677
58,2430,Carlos Boozer,20233,655,10580
59,201569,Eric Gordon,20846,641,10556
60,2772,Trevor Ariza,29065,912,10402
61,1891,Jason Terry,23297,895,10047
62,201952,Jeff Teague,21647,784,9976
63,202738,Isaiah Thomas,15709,533,9942
64,202083,Wesley Matthews,23633,728,9915
65,201586,Serge Ibaka,24005,831,9883
66,951,Ray Allen,22332,688,9873
67,2449,Luis Scola,21166,846,9797
68,201950,Jrue Holiday,21394,664,9747
69,101109,Raymond Felton,25748,881,9603
70,200765,Rajon Rondo,28199,860,9531
71,201588,George Hill,23588,813,9402
72,2594,Kyle Korver,24863,975,9298
73,101107,Marvin Williams,25446,903,9277
74,201587,Nicolas Batum,24253,784,9245
75,201155,Rodney Stuckey,19949,736,9125
76,2734,Devin Harris,20119,783,9117
77,201936,Tyreke Evans,17797,562,9087
78,2210,Richard Jefferson,22388,896,9087
79,201167,Arron Afflalo,22896,859,9038
80,203078,Bradley Beal,16230,482,9018
81,101122,Danny Granger,15681,497,8993
82,201156,Nick Young,18110,809,8984
83,708,Kevin Garnett,19049,680,8969
84,201954,Darren Collison,20760,721,8946
85,201583,Ryan Anderson,18734,729,8936
86,202330,Gordon Hayward,17850,578,8922
87,2590,Mo Williams,19291,655,8841
88,101162,Marcin Gortat,23171,911,8818
89,202328,Greg Monroe,18423,652,8784
90,2403,Nene,19454,759,8775
91,101127,Jarrett Jack,21962,791,8749
92,202710,Jimmy Butler,17568,539,8631
93,201163,Wilson Chandler,19810,652,8529
94,201584,Courtney Lee,24020,862,8495
95,201943,Brandon Jennings,18433,619,8445
96,2749,Jameer Nelson,21579,762,8441
97,201564,O.J. Mayo,18874,624,8399
98,202695,Kawhi Leonard,15867,521,8399
99,101139,CJ Miles,17556,820,8378
100,201158,Marco Belinelli,19595,847,8314
101,1712,Antawn Jamison,15891,504,8230
102,1889,Andre Miller,20325,756,8163
103,201599,DeAndre Jordan,24169,867,8139
104,201563,Michael Beasley,15024,650,8132
105,201568,Danilo Gallinari,16283,531,8019
106,201196,Ramon Sessions,18262,785,7968
107,201147,Corey Brewer,20647,899,7966
108,201579,Roy Hibbert,19510,776,7896
109,2406,Caron Butler,17998,617,7891
110,201951,Ty Lawson,18087,631,7865
111,101141,Ersan Ilyasova,17452,694,7809
112,200745,Andrea Bargnani,15447,536,7761
113,2564,Boris Diaw,23947,915,7714
114,201571,D.J. Augustin,19134,816,7695
115,101138,Brandon Bass,18775,832,7612
116,201959,Taj Gibson,20082,785,7585
117,200826,J.J. Barea,17132,840,7568
118,2202,Jason Richardson,15424,481,7524
119,200751,Randy Foye,19179,755,7494
120,203507,Giannis Antetokounmpo,14295,440,7484
121,202339,Eric Bledsoe,15141,559,7455
122,2419,Tayshaun Prince,21865,739,7450
123,101181,Jose Calderon,21722,798,7429
124,2732,Ben Gordon,14426,547,7391
125,2399,Mike Dunleavy,17712,661,7371
126,2222,Gerald Wallace,18608,563,7357
127,202699,Tobias Harris,14809,505,7301
128,959,Steve Nash,16188,510,7272
129,2440,Matt Barnes,21074,852,7244
130,1890,Shawn Marion,19197,640,7198
131,202696,Nikola Vucevic,14515,497,7173
132,201166,Aaron Brooks,15303,745,7144
133,202323,Evan Turner,19489,705,7137
134,202324,Derrick Favors,16137,625,7094
135,203084,Harrison Barnes,16915,561,7067
136,2199,Tyson Chandler,22606,779,7010
137,201577,Robin Lopez,18089,777,6983
138,1497,Chauncey Billups,13669,438,6968
139,1536,Stephen Jackson,14256,439,6951
140,201596,Mario Chalmers,21143,791,6947
141,203083,Andre Drummond,15284,508,6908
142,101112,Channing Frye,17711,812,6892
143,203506,Victor Oladipo,13308,404,6889
144,201162,Jared Dudley,20069,868,6834
145,2571,Leandro Barbosa,13565,702,6808
146,1897,Metta World Peace,18135,619,6797
147,2422,John Salmons,17909,589,6785
148,203952,Andrew Wiggins,12474,350,6780
149,202693,Markieff Morris,15087,574,6775
150,202683,Enes Kanter,12632,582,6762
